DeckType	Front	Back	Infinitief	Imperfectum	Perfectum	English
irregular-verbs	verbergen	Imperfectum: verborg, verborgen | Perfectum: verborgen | English: to hide	verbergen	verborg, verborgen	verborgen	to hide
irregular-verbs	verbieden	Imperfectum: verbood, verboden | Perfectum: verboden | English: to forbid	verbieden	verbood, verboden	verboden	to forbid
irregular-verbs	verbinden	Imperfectum: verbond, verbonden | Perfectum: verbonden | English: to connect, to join	verbinden	verbond, verbonden	verbonden	to connect, to join
irregular-verbs	verdwijnen	Imperfectum: verdween, verdwenen | Perfectum: is verdwenen | English: to disappear	verdwijnen	verdween, verdwenen	is verdwenen	to disappear
irregular-verbs	vergaan	Imperfectum: verging, vergingen | Perfectum: is vergaan | English: to fare	vergaan	verging, vergingen	is vergaan	to fare
irregular-verbs	vergelijken	Imperfectum: vergeleek, vergeleken | Perfectum: vergeleken | English: to compare	vergelijken	vergeleek, vergeleken	vergeleken	to compare
irregular-verbs	vergeten	Imperfectum: vergat, vergaten | Perfectum: (is) vergeten | English: to forget	vergeten	vergat, vergaten	(is) vergeten	to forget
irregular-verbs	verkopen	Imperfectum: verkocht, verkochten | Perfectum: verkocht | English: to sell	verkopen	verkocht, verkochten	verkocht	to sell
irregular-verbs	verlaten	Imperfectum: verliet, verlieten | Perfectum: verlaten | English: to leave	verlaten	verliet, verlieten	verlaten	to leave
irregular-verbs	verliezen	Imperfectum: verloor, verloren | Perfectum: (is) verloren | English: to lose	verliezen	verloor, verloren	(is) verloren	to lose
irregular-verbs	vermijden	Imperfectum: vermeed, vermeden | Perfectum: vermeden | English: to avoid	vermijden	vermeed, vermeden	vermeden	to avoid
irregular-verbs	verschijnen	Imperfectum: verscheen, verschenen | Perfectum: is verschenen | English: to appear	verschijnen	verscheen, verschenen	is verschenen	to appear
irregular-verbs	verzinnen	Imperfectum: verzon, verzonnen | Perfectum: verzonnen | English: to invent, to make up	verzinnen	verzon, verzonnen	verzonnen	to invent, to make up
irregular-verbs	vinden	Imperfectum: vond, vonden | Perfectum: gevonden | English: to find	vinden	vond, vonden	gevonden	to find
irregular-verbs	vliegen	Imperfectum: vloog, vlogen | Perfectum: (is) gevlogen | English: to fly	vliegen	vloog, vlogen	(is) gevlogen	to fly
irregular-verbs	vouwen	Imperfectum: vouwde, vouwden | Perfectum: gevouwen | English: to fold	vouwen	vouwde, vouwden	gevouwen	to fold
irregular-verbs	vragen	Imperfectum: vroeg, vroegen | Perfectum: gevraagd | English: to ask	vragen	vroeg, vroegen	gevraagd	to ask
irregular-verbs	vriezen	Imperfectum: vroor (het), - | Perfectum: gevroren | English: to freeze	vriezen	vroor (het), -	gevroren	to freeze
irregular-verbs	waaien	Imperfectum: waaide, waaiden / woei (het), - | Perfectum: gewaaid | English: to blow	waaien	waaide, waaiden / woei (het), -	gewaaid	to blow
irregular-verbs	wassen	Imperfectum: waste, wasten | Perfectum: gewassen | English: to wash	wassen	waste, wasten	gewassen	to wash
irregular-verbs	wegen	Imperfectum: woog, wogen | Perfectum: gewogen | English: to weigh	wegen	woog, wogen	gewogen	to weigh
